sym,side,t_sweep,day,utc_hour,atr,r,pierce_atr,poc_m5u,vwap_m5u,poc_m5c,vwap_m5c,poc_m1u,vwap_m1u,poc_m1c,vwap_m1c,trend_24h,er_24h,rv_24h,rv_1h
ETH,sellside,1779479100,2026-05-22,19,14.869323676660297,-0.4505921147251979,0.15064572193796602,4.718597247542278,3.8999865095223383,0.6185972475422608,3.8999865095223383,4.718597247542278,3.7877445312228355,0.16859724754228164,3.7877445312228355,-2.8810994320638907,0.39295542102366515,0.002882464322863557,0.010198271188753192
ETH,sellside,1779478500,2026-05-22,19,14.869323676660297,-0.15737097738165035,0.9953378056616704,3.575976347664453,3.1161882646244266,1.2259763476644532,3.1161882646244266,3.575976347664453,2.8041537854288183,-0.9740236523355432,2.8041537854288183,-2.8810994320638907,0.39295542102366515,0.002882464322863557,0.007817776407745966
ETH,sellside,1779522900,2026-05-23,7,14.51867677384108,-0.5179535378560867,0.2300485128243895,3.7007967512397864,5.198253599289092,1.6007967512397818,5.198253599289092,3.5007967512397813,4.765216916806995,-0.04920324876022731,4.765216916806995,-4.615434384539405,0.4639617807934658,0.004463413839720607,0.010742820382095532
ETH,sellside,1779522900,2026-05-23,7,14.51867677384108,-0.5179535378560867,0.533106433910389,3.3977388301537865,4.895195678203092,1.2977388301537822,4.895195678203092,3.197738830153782,4.462158995720996,-0.3522611698462268,4.462158995720996,-4.615434384539405,0.4639617807934658,0.004463413839720607,0.010742820382095532
ETH,sellside,1779522900,2026-05-23,7,14.51867677384108,-0.5179535378560867,0.8402969630112096,3.090548301052966,4.588005149102272,0.9905483010529617,4.588005149102272,2.890548301052961,4.154968466620176,-0.6594516989470474,4.154968466620176,-4.615434384539405,0.4639617807934658,0.004463413839720607,0.010742820382095532
ETH,buyside,1779722100,2026-05-25,15,11.501513526159394,-0.446028254310381,0.5338427839114672,3.054080340217421,2.5243388413166254,1.9540803402174378,2.5243388413166254,3.154080340217419,2.473098901714385,1.3540803402174078,2.473098901714385,2.8257150614204822,0.24286354804961943,0.004095478870125332,0.003479247658760584
ETH,sellside,1779810900,2026-05-26,15,16.70835426584119,0.06643383198244891,0.3453362257105271,1.6158545549202297,1.6281173101395892,1.6658545549202213,1.6281173101395892,0.6658545549202278,1.5978339756824345,1.6658545549202213,1.5978339756824345,-1.067130832654886,0.11097280139416145,0.004675233596020463,0.006935274192557376
ETH,sellside,1779816900,2026-05-26,17,17.556131994526332,-0.7814933269058033,0.45226363087698335,1.81620018901633,2.4529210598819486,2.766200189016337,2.4529210598819486,1.8662001890163507,2.4012095147025923,2.8162001890163317,2.4012095147025923,-2.790477994541986,0.28273792347203924,0.005001389039340042,0.004127364467758298
ETH,sellside,1779889500,2026-05-27,13,13.641943210523063,-0.4903993439028211,0.22724035367693396,1.4822383137633552,2.213690081724062,2.182238313763357,2.213690081724062,1.4822383137633552,2.1634716683768613,1.5822383137633553,2.1634716683768613,-3.4115374387499386,0.3556472566101158,0.0035142539434865564,0.0034271944859615654
ETH,sellside,1779938400,2026-05-28,3,17.542756112900154,0.639010194741105,2.1262337434293586,2.8376954243266703,2.6538775544949407,2.737695424326682,2.6538775544949407,2.737695424326682,2.343796033891472,-1.1623045756733226,2.343796033891472,-2.9784373483695474,0.3749013417521683,0.0051662593397271825,0.0027540158599127316
ETH,buyside,1780068900,2026-05-29,15,16.033901264326957,0.025570819804911948,0.7608878088293601,0.9817419609504358,1.336137592011552,1.2317419609504385,1.336137592011552,1.2817419609504392,1.2876905866409287,0.4317419609504294,1.2876905866409287,0.697896277114785,0.07814791535721632,0.004019550656122093,0.007659750258355768
ETH,sellside,1780245300,2026-05-31,16,7.805427873799995,-0.668765387932375,0.5483363717146613,3.186818651224536,2.6611706564168647,3.136818651224536,2.6611706564168647,3.186818651224536,2.572069327061594,3.186818651224536,2.572069327061594,-2.1228817007738225,0.2607395751376842,0.0019545155254137047,0.003335696941848652
ETH,sellside,1780300200,2026-06-01,7,13.039896433875318,-0.47316326715383383,0.3665673285243576,2.703244041458901,2.3585795071915197,2.553244041458891,2.3585795071915197,2.703244041458901,2.338189838029097,2.6532440414589034,2.338189838029097,-2.756156859239646,0.2634124890061551,0.003884879693111946,0.004352709370344172
ETH,sellside,1780322400,2026-06-01,14,14.72254109364738,0.17592071800142406,0.7444367062917665,3.02034659891425,2.084954176934029,2.920346598914252,2.084954176934029,3.0703465989142495,1.9938343267896361,3.02034659891425,1.9938343267896361,-2.1022186185885157,0.19565079967128132,0.004228624629431518,0.006663028848862889
ETH,sellside,1780410300,2026-06-02,14,16.372049801444412,1.3022193469090837,0.09711673365784909,2.252443049987002,2.834664612175009,2.2024430499870045,2.834664612175009,2.2024430499870045,2.7379218711461295,2.1024430499870093,2.7379218711461295,0.3481543282073904,0.03633813591737736,0.004341777098339077,0.006391976471427811
ETH,sellside,1780410300,2026-06-02,14,16.372049801444412,1.3022193469090837,1.1489092830844216,1.2006505005604295,1.7828720627484365,1.150650500560432,1.7828720627484365,1.150650500560432,1.686129321719557,1.050650500560437,1.686129321719557,0.3481543282073904,0.03633813591737736,0.004341777098339077,0.006391976471427811
ETH,sellside,1780414200,2026-06-02,15,18.887617672769807,-0.9815954728228642,0.020119001061100122,3.587674173836953,3.622042428631021,1.537674173836948,3.622042428631021,3.587674173836953,3.5431405854033073,3.487674173836943,3.5431405854033073,-1.4342729966974965,0.14284207751120556,0.005584332160151829,0.009377952204849431
ETH,sellside,1780413900,2026-06-02,15,18.887617672769807,-0.5421541338568585,0.06035700318328833,3.1254665968281268,3.2691647020984993,1.0754665968281216,3.2691647020984993,3.1254665968281268,3.171578580855448,3.0254665968281165,3.171578580855448,-1.4342729966974965,0.14284207751120556,0.005584332160151829,0.012551896297969439
ETH,sellside,1780457700,2026-06-03,3,23.517134137341735,-0.14032322053902146,0.03784474735748877,5.9814769549994,3.357762254632166,4.531476954999398,3.357762254632166,5.9314769549994,3.3259401437054463,3.181476954999397,3.3259401437054463,-6.371949878112932,0.7491376293555957,0.005648020040639167,0.0067579337275789015
ETH,sellside,1780504200,2026-06-03,16,20.562457695939084,-0.5086940556753375,0.28060848004270955,2.7639671474520813,2.597225257633972,2.713967147452086,2.597225257633972,2.7639671474520813,2.5521180348477155,2.5139671474520826,2.5521180348477155,-4.054962749733304,0.3635967207395768,0.006896900396207401,0.010089498847937974
ETH,sellside,1780516800,2026-06-03,20,21.37073963483169,1.028041161672833,0.22320238239323573,3.44768588934468,2.7843384451889315,3.3976858893446815,2.7843384451889315,3.44768588934468,2.7091786413759777,3.1976858893446782,2.7091786413759777,-3.7448399712643012,0.3524463821728975,0.006852984729146503,0.010107692453594781
ETH,sellside,1780538700,2026-06-04,2,30.683767241517852,-2.1007850663389194,0.18315873522843573,4.924789159241049,3.613464098422983,2.6247891592410495,3.613464098422983,5.024789159241053,3.5022261281802893,2.524789159241053,3.5022261281802893,-3.07393806169852,0.259363141395809,0.012045203573778519,0.013556414534127075
ETH,sellside,1780538700,2026-06-04,2,30.683767241517852,-2.1007850663389194,0.46995533131565853,4.637992563153826,3.3266675023357606,2.3379925631538265,3.3266675023357606,4.73799256315383,3.215429532093067,2.23799256315383,3.215429532093067,-3.07393806169852,0.259363141395809,0.012045203573778519,0.013556414534127075
ETH,sellside,1780538700,2026-06-04,2,30.683767241517852,-2.1007850663389194,0.9946627400661455,4.113285154403339,2.8019600935852735,1.8132851544033397,2.8019600935852735,4.213285154403343,2.6907221233425798,1.7132851544033432,2.6907221233425798,-3.07393806169852,0.259363141395809,0.012045203573778519,0.013556414534127075
ETH,sellside,1780638000,2026-06-05,5,26.608940125295785,2.276678428931853,0.34875496567328296,2.1372923004938515,1.6157934551658912,2.087292300493848,1.6157934551658912,2.1372923004938515,1.5670674385349854,2.287292300493853,1.5670674385349854,-1.4814569770302586,0.17871067186508213,0.0071308432113885425,0.010842786991442062
ETH,sellside,1780719600,2026-06-06,4,32.36779736717302,0.293810539287573,0.0540660824135913,1.8314995136472172,2.638946662823937,1.9314995136472195,2.638946662823937,1.8314995136472172,2.6135548933465267,1.8814995136472183,2.6135548933465267,-5.601246138048064,0.4054839864018609,0.013716931085723331,0.011984132649426972
