feature,ic_2025-11,n_2025-11,ic_2025-12,n_2025-12,ic_2026-01,n_2026-01,ic_2026-02,n_2026-02,ic_2026-03,n_2026-03,ic_2026-04,n_2026-04,early_avg,late_avg,ic_drop,early_signed,late_signed,sign_flip
vol_kurtosis,-0.06740560842131255,720,-0.03394904363945865,744,-0.09341405983885975,744,0.07387358153745507,672,-0.03959451816579481,744,-0.05496683296481072,300,0.06492290396654365,0.047280675565302764,0.01764222840124089,-0.06492290396654365,-0.047280675565302764,False
cg_margin_funding_align,0.03180922655979638,720,-0.12404000446397742,744,-0.026669176439873113,744,0.009624041585773981,672,0.047511813368446856,744,-0.03948977210857898,300,0.060839469154548964,0.043500792738512914,0.01733867641603605,-0.03963331811468472,0.004011020629933939,False
cg_oi_close_pctchg_8h,0.049258872027145115,720,0.10917638742428795,744,0.008839782547188643,744,-0.05462545882247244,672,0.04769535510328485,744,-0.03677151968355204,300,0.0557583473328739,0.04223343739341844,0.01352490993945546,0.0557583473328739,0.005461917709866405,False
taker_delta_ratio,0.004449179107212784,720,-0.01882565924525564,744,-0.05637994741714326,744,-0.010571976801606792,672,0.00205552756666318,744,-0.024690052111690126,300,0.02655159525653723,0.013372789839176653,0.013178805417360577,-0.023585475851728707,-0.011317262272513473,False
cg_oi_close,0.15988543573579422,720,-0.07760636628468486,744,-0.00041535095702599273,744,0.018794600177593563,672,-0.09903443249818128,744,0.03567817420193557,300,0.07930238432583503,0.06735630335005843,0.011946080975776596,0.027287906164694457,-0.031678129148122854,False
cg_oi_delta_mom_1h,-0.0366134965538128,720,-0.03612319295600681,744,-0.0501289512537745,744,0.015456935459736715,672,-0.023073838906943263,744,0.03753552817253525,300,0.0409552135878647,0.030304683539739256,0.010650530048125443,-0.0409552135878647,0.007230844632795993,False
tox_pressure,0.010110262558376848,720,-0.009851869960724575,744,-0.03712076952909992,744,0.026615143680278994,672,0.00997267707814612,744,-0.016201513350148335,300,0.019027634016067115,0.013087095214147228,0.005940538801919887,-0.012287458977149217,-0.003114418136001107,False
cg_oi_delta_slope_4h,-0.016001895579788282,720,-0.006644304043483569,744,0.050664832511975094,744,0.04708159961734609,672,-0.023776157756728967,744,-0.014020600228891433,300,0.024437010711748985,0.0188983789928102,0.005538631718938786,0.009339544296234415,-0.0188983789928102,False
cg_oi_close_zscore,0.06106612216973154,720,0.17861259465191032,744,0.005701449073506149,744,-0.0959203908409813,672,0.03631591323449839,744,-0.1193475483060923,300,0.081793388631716,0.07783173077029534,0.0039616578614206505,0.081793388631716,-0.04151581753579696,True
cg_funding_close,0.11098720471726484,720,-0.017904067208271295,744,0.0038380244521182133,744,-0.11418499769763586,672,0.07134857499700743,744,0.012201254814781641,300,0.04424309879255145,0.041774914905894536,0.0024681838866569134,0.03230705398703725,0.041774914905894536,False
