feature,cond_ic,raw_ic,abs_cond_ic,frac_fold_consist,n_folds,nonzero_frac,n,max_corr_deployed,family,pass_cond_ic,pass_consist,pass_notredundant,pass_notsparse,SCREEN_PASS
cg_liq_cascade,0.006520171401158258,0.02269428814766012,0.006520171401158258,0.5454545454545454,77,0.2746212121212121,3696,0.768301391287152,cg,False,False,True,False,False
tox_liq_exhaust,-0.0064079640371063435,-0.03504632978506942,0.0064079640371063435,0.5064935064935064,77,1.0,3696,0.1231021377433291,tox,False,False,True,True,False
dvol_rv_spread,0.0059939231182015535,0.001656591967830682,0.0059939231182015535,0.45454545454545453,77,1.0,3696,0.8992375818705399,dvol,False,False,True,True,False
etf_flow_3d_sum,0.004588639032756194,-0.020795305251456793,0.004588639032756194,0.39473684210526316,38,1.0,3696,0.6382601639403228,etf,False,False,True,True,False
fg_delta_1d,-0.004234279263960883,0.0007255423317224578,0.004234279263960883,0.3617021276595745,47,0.935064935064935,3696,0.36754910072487096,fg,False,False,True,True,False
cg_liq_surge_zscore,0.004184802090656328,0.01430062689306517,0.004184802090656328,0.4935064935064935,77,1.0,3636,0.9279065929034575,cg,False,False,False,True,False
buy_flow_price_impact,-0.0035068183038683585,-0.01586125922790543,0.0035068183038683585,0.5064935064935064,77,1.0,3579,0.39382543093361505,buy,False,False,True,True,False
taker_delta_std_4h,-0.0034409942224236296,0.04036818803079564,0.0034409942224236296,0.4805194805194805,77,1.0,3696,0.6624118852353134,taker,False,False,True,True,False
absorption_buy,-0.0031180112699415,-0.019253952900624687,0.0031180112699415,0.5324675324675324,77,1.0,3696,0.6062080285813606,absorption,False,False,True,True,False
tox_funding_pressure,-0.0026571930932999025,0.020943565199724328,0.0026571930932999025,0.5064935064935064,77,0.9997294372294372,3696,0.9886909299166774,tox,False,False,False,True,False
etf_flow_gbtc,-0.002457086332281437,0.007434477693451849,0.002457086332281437,0.5185185185185185,27,0.2077922077922078,3696,0.3198526234213943,etf,False,False,True,False,False
funding_zscore,-0.0019107893435139725,0.021711811335307495,0.0019107893435139725,0.5194805194805194,77,1.0,3696,1.0,funding,False,False,False,True,False
crowding_zscore,-0.0018816329052694493,0.01708762546341419,0.0018816329052694493,0.4935064935064935,77,1.0,3696,0.9897048890327067,crowding,False,False,False,True,False
imb_slope_4b,0.0010285176016048758,-0.022540601495578336,0.0010285176016048758,0.42857142857142855,77,1.0,3696,0.8564152640187849,imb,False,False,True,True,False
absorption_sell,-0.0006355160028199975,-0.01956504706025859,0.0006355160028199975,0.5194805194805194,77,1.0,3696,0.6067765843530709,absorption,False,False,True,True,False
etf_flow_7d_sum,-0.00022409898516013302,-0.023153152674777355,0.00022409898516013302,0.5,38,1.0,3696,0.6372839480353716,etf,False,False,True,True,False
